suite,name,metric,value,unit
trace_codec,constant,bits_per_value,1.218803406,bits
trace_codec,constant,compression_ratio_vs_raw32,26.25525975,x
trace_codec,constant,residual_entropy_bound,0,bits
trace_codec,constant,order0_entropy,0,bits
trace_codec,constant,encode_throughput,2.193570137,ns/value
trace_codec,constant,decode_throughput,1.13260746,ns/value
trace_codec,constant,lossless,1,bool
trace_codec,quad_coherent,bits_per_value,7.187919617,bits
trace_codec,quad_coherent,compression_ratio_vs_raw32,4.451914004,x
trace_codec,quad_coherent,residual_entropy_bound,5.701016313,bits
trace_codec,quad_coherent,order0_entropy,5.999855113,bits
trace_codec,quad_coherent,encode_throughput,2.536574364,ns/value
trace_codec,quad_coherent,decode_throughput,0.9244680405,ns/value
trace_codec,quad_coherent,lossless,1,bool
trace_codec,warp_gradient,bits_per_value,6.631248474,bits
trace_codec,warp_gradient,compression_ratio_vs_raw32,4.825637303,x
trace_codec,warp_gradient,residual_entropy_bound,5.042928164,bits
trace_codec,warp_gradient,order0_entropy,16.53889797,bits
trace_codec,warp_gradient,encode_throughput,2.457261086,ns/value
trace_codec,warp_gradient,decode_throughput,0.9425086975,ns/value
trace_codec,warp_gradient,lossless,1,bool
trace_codec,float_smooth,bits_per_value,25.09612274,bits
trace_codec,float_smooth,compression_ratio_vs_raw32,1.275097366,x
trace_codec,float_smooth,residual_entropy_bound,19.43550909,bits
trace_codec,float_smooth,order0_entropy,19.98079585,bits
trace_codec,float_smooth,encode_throughput,3.399808884,ns/value
trace_codec,float_smooth,decode_throughput,1.654267311,ns/value
trace_codec,float_smooth,lossless,1,bool
trace_codec,random32,bits_per_value,32.03130341,bits
trace_codec,random32,compression_ratio_vs_raw32,0.9990227246,x
trace_codec,random32,residual_entropy_bound,19.53103065,bits
trace_codec,random32,order0_entropy,19.99971771,bits
trace_codec,random32,encode_throughput,3.568370819,ns/value
trace_codec,random32,decode_throughput,1.588265419,ns/value
trace_codec,random32,lossless,1,bool
trace_codec,gradient_div50,bits_per_value,9.572458107,bits
trace_codec,gradient_div50,compression_ratio_vs_raw32,3.342924006,x
trace_codec,gradient_div50,residual_entropy_bound,4.991080045,bits
trace_codec,gradient_div50,order0_entropy,16.53889797,bits
trace_codec,gradient_div50,encode_throughput,6.9995327,ns/value
trace_codec,gradient_div50,decode_throughput,3.656427383,ns/value
trace_codec,gradient_div50,lossless,1,bool
trace_codec,gradient_div10,bits_per_value,25.9377793,bits
trace_codec,gradient_div10,compression_ratio_vs_raw32,1.233721655,x
trace_codec,gradient_div10,residual_entropy_bound,4.243571445,bits
trace_codec,gradient_div10,order0_entropy,16.53889797,bits
trace_codec,gradient_div10,encode_throughput,2.920985222,ns/value
trace_codec,gradient_div10,decode_throughput,1.396814346,ns/value
trace_codec,gradient_div10,lossless,1,bool
